"V1" "V2" "V3"
"1" 0.00668858336547401 0.013181507431082 0.011945935008112
"2" 0.027100159945204 0.014458936960807 0.00240689650439702
"3" 0.086621024530302 0.028088648769353 0.048204116641988
"4" 0.016445600433844 0.008721395488552 0.203963567752684
"5" 0.032103023638017 0.43139432763583 0.00352085883960795
"6" 0.037005446687765 0.479916091433728 0.019482252520766
"7" 0.00143198275616602 0.251401174744722 0.061609646935387
"8" 0.005032378099665 0.193462553796799 0.017322246013393
"9" 0.00803646198130598 0.188187420034458 0.000928507703909009
"10" 0.054676068530761 0.255571580871335 0.007158130323556
"11" 0.02693879025193 0.237162559500208 0.01828014895194
"12" 0.07434245976124 0.032764187426558 0.036244048789098
"13" 0.087669429312204 0.205394864991921 0.00997814839292899
"14" 0.149559699992763 0.213258416559571 0.000508110569263032
"15" 0.102533595513246 0.223549966535415 0.032051481807377
"16" 0.091867130881817 0.222458211348146 0.044454580992772
"17" 0.097341084009403 0.208204125397185 0.00933145428487903
"18" 0.027423227832067 0.184390541511927 0.050882707098559
"19" 0.076331589467544 0.072649563377843 0.00505481005500702
"20" 0.023732329706514 0.004722795223423 0.033356652510101
